trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.30952380952380953, 'e': 0.23809523809523808}",25,11,-58.2732403121554,"{0: 11, 1: 0, 2: 1, 3: 2, 4: 0}",1
43,False,"{'a': 0.3023255813953488, 'e': 0.23255813953488372}",20,11,26.105528267377146,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.29545454545454547, 'e': 0.22727272727272727}",25,1,-45.106679225441425,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 2}",1
45,False,"{'a': 0.28888888888888886, 'e': 0.2222222222222222}",20,14,28.094140153265116,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.2826086956521739, 'e': 0.21739130434782608}",20,7,-42.66598035355619,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
47,False,"{'a': 0.2765957446808511, 'e': 0.2127659574468085}",20,11,18.219104128509077,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.2708333333333333, 'e': 0.20833333333333334}",20,16,32.30559530372663,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.2653061224489796, 'e': 0.20408163265306123}",25,7,13.311624818008095,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
50,False,"{'a': 0.26, 'e': 0.2}",20,12,-20.910408297469274,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
51,False,"{'a': 0.2549019607843137, 'e': 0.19607843137254902}",25,5,-192.26670325267705,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",1
52,False,"{'a': 0.25, 'e': 0.19230769230769232}",20,10,-14.052879830153234,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
53,False,"{'a': 0.24528301886792453, 'e': 0.18867924528301888}",35,13,-97.39535071084283,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 3}",1
54,False,"{'a': 0.24074074074074073, 'e': 0.18518518518518517}",20,7,-29.69279450431907,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 1}",1
55,False,"{'a': 0.23636363636363636, 'e': 0.18181818181818182}",30,0,-89.4641069424904,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 3}",0
56,False,"{'a': 0.23214285714285715, 'e': 0.17857142857142858}",30,0,-79.25757035645694,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
57,False,"{'a': 0.22807017543859648, 'e': 0.17543859649122806}",30,1,-77.21563979285837,"{0: 26, 1: 0, 2: 0, 3: 1, 4: 2}",1
58,False,"{'a': 0.22413793103448276, 'e': 0.1724137931034483}",20,0,-70.57584887010701,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
59,False,"{'a': 0.22033898305084745, 'e': 0.1694915254237288}",25,0,-53.47238465075267,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
60,False,"{'a': 0.21666666666666667, 'e': 0.16666666666666666}",30,6,86.35750617487979,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.21311475409836064, 'e': 0.16393442622950818}",25,5,19.44069569305124,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.20967741935483872, 'e': 0.16129032258064516}",20,6,-68.57137468152695,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
63,False,"{'a': 0.20634920634920634, 'e': 0.15873015873015872}",20,10,26.203514908075558,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.203125, 'e': 0.15625}",25,2,-97.22029509645701,"{0: 18, 1: 0, 2: 2, 3: 3, 4: 0}",1
65,False,"{'a': 0.2, 'e': 0.15384615384615385}",20,0,-33.51408336265409,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
66,False,"{'a': 0.19696969696969696, 'e': 0.15151515151515152}",30,13,8.765876477314421,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
67,False,"{'a': 0.19402985074626866, 'e': 0.14925373134328357}",20,11,31.36735675297057,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.19117647058823528, 'e': 0.14705882352941177}",25,18,34.618026682862066,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.18840579710144928, 'e': 0.14492753623188406}",20,0,-38.13065401998678,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
70,False,"{'a': 0.18571428571428572, 'e': 0.14285714285714285}",25,14,24.733964974776086,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.18309859154929578, 'e': 0.14084507042253522}",30,6,6.271795158376628,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
72,False,"{'a': 0.18055555555555555, 'e': 0.1388888888888889}",25,0,-105.93844589355862,"{0: 17, 1: 4, 2: 2, 3: 2, 4: 0}",0
73,False,"{'a': 0.1780821917808219, 'e': 0.136986301369863}",20,8,24.065485825475808,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.17567567567567569, 'e': 0.13513513513513514}",25,1,-154.13766427576803,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 1}",1
75,False,"{'a': 0.17333333333333334, 'e': 0.13333333333333333}",25,0,-105.2285791217864,"{0: 21, 1: 0, 2: 0, 3: 2, 4: 2}",0
76,False,"{'a': 0.17105263157894737, 'e': 0.13157894736842105}",20,6,40.136329112392716,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.16883116883116883, 'e': 0.12987012987012986}",25,11,-18.875786164966236,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
78,False,"{'a': 0.16666666666666666, 'e': 0.1282051282051282}",20,11,34.645651087358786,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.16455696202531644, 'e': 0.12658227848101267}",30,16,67.60488756934774,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.1625, 'e': 0.125}",30,4,-71.68004381114929,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 1}",1
81,False,"{'a': 0.16049382716049382, 'e': 0.12345679012345678}",20,2,-32.98536300528624,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
82,False,"{'a': 0.15853658536585366, 'e': 0.12195121951219512}",35,0,-6.09354005282646,"{0: 30, 1: 2, 2: 3, 3: 0, 4: 0}",0
83,False,"{'a': 0.1566265060240964, 'e': 0.12048192771084337}",25,13,47.64004148131571,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.15476190476190477, 'e': 0.11904761904761904}",20,5,68.24363207366976,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.15294117647058825, 'e': 0.11764705882352941}",25,3,-80.54214618928768,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 2}",1
86,False,"{'a': 0.1511627906976744, 'e': 0.11627906976744186}",25,16,8.0495851821224,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.14942528735632185, 'e': 0.11494252873563218}",20,8,42.8505395414751,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.14772727272727273, 'e': 0.11363636363636363}",20,0,-1.2542023657650667,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
89,False,"{'a': 0.14606741573033707, 'e': 0.11235955056179775}",30,0,-64.76196723718584,"{0: 27, 1: 0, 2: 0, 3: 2, 4: 1}",0
90,False,"{'a': 0.14444444444444443, 'e': 0.1111111111111111}",35,18,47.61797649576151,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.14285714285714285, 'e': 0.10989010989010989}",25,12,-17.315636915552368,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
92,False,"{'a': 0.14130434782608695, 'e': 0.10869565217391304}",25,16,23.683658515669237,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.13978494623655913, 'e': 0.10752688172043011}",20,0,15.437264569402661,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
94,False,"{'a': 0.13829787234042554, 'e': 0.10638297872340426}",20,11,53.70892279505592,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.1368421052631579, 'e': 0.10526315789473684}",25,14,43.815831335185734,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.13541666666666666, 'e': 0.10416666666666667}",25,15,-9.339364119294252,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
97,False,"{'a': 0.13402061855670103, 'e': 0.10309278350515463}",25,18,-2.7423885834899266,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
